DISTRICT,PK,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
South Andaman,640,94.9,0.558938298,1920,1.489138014,3.624205439,27.7,0.18498276,0,11.6,1.80051124,0.933582375,282,10.6,13.1,59.6,0.075610981,0.491766814
Nicobar,638,99.6,0.374299839,1230,0.695424178,0.403166832,17.9,0,0,4.116979316,0,2.631591391,241,5.819983307,0.882904083,88.9,0.112487556,3.827190924
North & Middle Andaman,639,104,1.850699939,2640,1.946544788,5.453927571,38.6,0.40675801,0.231973699,64.5,3.050149075,1.000332616,340,7.759433101,0,161,0.447024278,0.094550569
Lawangtlai,287,0,0,1070,0,0,20.6,0,0,868,1.335547759,0,0.184117813,2.711482503,0,29,0,0
Lunglei,286,0,0,3890,0,0,44.3,0,0,565,0.819342409,0,0.230629065,1.947699496,0,17.3,0,0
Saiha,288,0,0,1730,0,0,65.8,0,0,167,0,0,0,1.52594059,0,6.949627269,0,0
Dibang Valley,257,30.1,689,44,1.886461617,2.189173768,3820,0,156,53.8,4.507496572,2020,0.464014137,0.454028983,0,6.494969789,578,3.794386721
Upper Siang,252,18.3,846,619,0.545952906,0.861887974,4400,0.244850103,32.5,25.6,1.331616781,610,27.4,1.53946935,0,2.152075663,184,0.820354427
Lower Dibang Valley,258,10.5,286,877,0.236435279,1.574909737,3350,5.824915756,80.1,232,16.8,392,19.9,109,2.96021476,278,24.6,1.8242872
Tuensang,267,0,2.683643126,1280,0,1.064316814,917,0,0,160,0.187649149,0.589836732,0,2.313232544,0,104,0,0
Mon,261,0,0,1390,0,1.212753302,95.9,0.18682699,0,262,2.867700758,0,0.799291615,3.468682312,0,79.9,0,0
Tirap,254,0,1.8560849,1710,0,0,216,0.231018596,0,82.3,0,0,0.23071795,0,0,22.6,0,0
Sivasagar,311,0.08448215,0,142,0,0,10.9,0.642405992,16,454,9.667729409,6.067682566,3.975133503,1460,9.204754999,517,0,2.053433525
Changlang,253,0.353063467,113,3150,0.176564326,0.238282207,1170,1.731685896,6.052941628,122,8.003504417,78,6.177488069,43.2,0,333,1.62522518,0
Lohit,259,2.833850445,86.9,0,0.194127036,2.141042005,1130,12.3,23.8,305,37.1,94.5,36.9,138,2.631680231,404,0.473582247,0.893446174
Anjaw,260,13.9,653,275,1.884283912,3.020089652,3930,6.266664025,58.9,79.2,5.653394356,1410,10.7,3.488674796,1.325143349,2.223536933,53,1.646184223
Tinsukia,309,10.9,0.176274443,826,0,0.237935099,104,14.8,45.1,1190,38.8,78.5,63,312,14.3,1070,0,20.1
Dhemaji,308,39.7,0.176531733,123,0,0.220235147,7.81525406,10.3,70,58.8,4.806753446,100,21,1190,1.44843547,942,0.220450742,41.3
Dibrugarh,310,128,0.238326519,179,0,0,24.4,14.5,154,563,23,203,24.7,812,28.9,1100,0,143
East Siang,251,3.080701974,26.9,1810,0,0.448781571,1090,16,15.7,163,21.7,37.2,88.1,131,4.324944201,320,0.39597354,11.4
West Siang,250,6.596442675,1130,2960,0.637850615,6.895678112,3380,1.042463714,5.065353362,65.5,4.37214274,230,20.8,21.2,0,62.8,40.8,0
Upper Subansiri,249,15.8,1650,1070,0.621177435,2.189685269,3050,0,33.5,17.7,3.414580649,337,1.554391033,4.090102321,0,2.084171412,207,14.9
Jorhat,312,98.1,0.177642285,199,0,0.177732105,18.8,8.987863232,146,249,6.824146185,170,17.3,1070,8.582071151,931,0.461619065,78.4
Lakhimpur,307,7.996995786,0.239304373,114,0,0,53.2,4.986486651,52,250,10.1,48.5,13.2,934,5.625292053,1370,0,17.9
Lower Subansiri,255,0,74.2,1200,0.697482221,0.424315077,1150,3.901135325,0.032701666,29.3,0,1.364064782,10.2,9.961440615,0,5.783861829,0,0
Papum Pare,248,1.535851691,271,2110,0,0,1140,0,0.444717921,120,4.483124219,2.011343756,1.807887993,24.9,7.917918763,98.4,0,0
Kurung Kumey,256,19.8,1540,565,0.429297589,1.073482709,3880,0,50.5,29.7,3.880817495,342,0.486828741,0.228907022,0,1.841593035,321,35.4
East Kameng,247,3.819072512,889,2230,0.609044165,1.228526725,2430,0.308820378,32.9,58.9,1.473704551,117,4.731590761,10.2,0,15.6,147,52.1
West Kameng,246,0.032509714,726,1090,0,6.685903603,2910,6.079959343,18.8,147,1.96260185,274,2.380827653,16.5,0.647198291,30.3,21.9,12.2
Tawang,245,5.82395333,458,3.559130782,0.555311704,14.9,845,3.660290388,32.5,46,3.175991011,836,0.55689638,1.810320023,0,46.9,33.4,25.8
Sonitpur,306,170,0.417210625,388,0,0.709797042,69.9,11.3,170,228,23.6,213,42.4,968,15,2800,0,96.1
Golaghat,313,48.1,0.231301456,134,0,0.409359207,44.5,5.003297306,52.5,448,35.9,82.1,50.6,856,2.137655623,1580,0,22.2
Karbi Anglong,314,0,0,5260,0,0.420758596,451,0.355252002,0.232230104,3300,14.8,0.700860109,0.932634746,580,7.623523347,800,0,0
Nagaon,305,3.52492533,0,308,0,0.666414796,87.8,0.917495621,11.4,441,13.6,17.5,42.8,2440,24.1,600,0,4.211675758
Marigaon,304,44,0,17.7,0,0,27.9,1.256913479,37.6,98.5,3.118046935,59.2,29.7,971,2.600419919,231,0,21.9
Jaintia Hills,299,0,0,1870,0,0,572,4.68572919,3.841809657,874,17.7,25.2,6.154291687,131,4.468607437,292,0,0
Dima Hasao,315,4.798937561,0,3190,0,0.359945454,235,3.228069287,0.188777156,1320,5.37207776,0,9.987100156,21.2,5.476342187,114,0,0.233644613
Dimapur,265,0,0.091836562,197,0,0.224114307,62.7,0,0.188119515,312,1.715674559,0.878279811,0,56,5.562699657,175,0,0
Peren,271,0,0.457896774,1320,0,0.179720801,141,0,0,233,0.466876276,0,0,6.787400356,0,40.1,0,0
Kohima,270,0,2.457563645,631,0,1.300935051,595,0.655268102,0,226,0.233078945,0.834977432,0,6.964630899,2.84510603,10.4,0,0
Wokha,264,2.688985021,0,1340,0,0,40.8,0,0,187,0.454789105,0.456117731,13.5,3.329713202,0,38.9,0,0
Phek,266,0,0.413450374,583,0,0.97997472,1340,0,0,112,0,1.347405861,0,2.157244739,0,15.8,0,0
Zunheboto,263,0,0,724,0,0.627411168,384,0,0,133,0,0,0,0.876963655,0,17.7,0,0
Mokokchung,262,0,0,1420,0,0.365868932,30.9,0.231902118,0,127,1.017337815,0.187451735,0,1.472404275,1.615564646,20.9,0,0
Longleng,268,0,0,463,0,0.452601399,26.5,0,0,56.1,0.577624395,0,0.162375788,0.348903424,0,17.1,0,0
Kiphire,269,0,1.340128414,380,0,0,640,0.350256638,0,84.1,0,2.172316915,0,3.58306001,0,37.7,0,0
Senapati,272,0,0.422840224,1300,0,1.062700169,1470,2.088167022,0.845500295,452,1.930649629,11.1,0,34.1,0,218,0,0
Ukhrul,279,0,0,2790,0,0.518575112,1410,0,0,216,0.883873546,3.748387402,0.225730391,7.534465186,0,26.9,0,0
Tamenglong,273,0,0.189057606,3780,0,0.596689975,205,0,0,154,2.048266113,0.597118006,0.841467441,3.218177898,0,51.1,0,0
Imphal East,278,0,0.005928119,83.5,0,1.056945189,40.1,0.781721041,0.24587385,115,1.058770302,11.9,57.4,340,41.5,228,0,0
Chandel,280,0,0,2620,0,1.866674891,278,0.416941981,0,205,0.471236562,1.460600029,0,14.6,0,57.6,0,0
Thoubal,276,0,0,36.4,0,0.235315095,21.3,0.92416756,0.480854725,67.9,1.214242194,18.5,54.6,302,2.355378731,207,0,0
Bishnupur,275,33.3,1.48831882,12.3,0.181240562,0,7.76374229,2.572559018,0,20.6,4.336578073,3.053562693,130,179,1.567289495,84.4,0,0
Churachandpur,274,0,0,4040,0,0.320624476,275,0.671635569,0.680296079,117,0.17495506,4.509576229,8.078550874,24.6,0.870712215,110,0,0
Champhai,284,0,0,3100,0,0.228099434,116,0.237061276,0.228268359,77,1.238852332,0.830988466,0,7.739130039,0,43.2,0,0
Aizawl,283,0,0,3530,0,0.783623403,30.7,0,0,122,0.555737266,0,0,5.485917776,4.802256742,35.1,0,0
Serchhip,285,0,0,1030,0,0,37.2,0,0,59.8,0.411469536,0,0,0.854661165,0,23.2,0,0
Mamit,281,0,0,2490,0,2.189471606,8.467014716,0,0,501,0.410164487,0,0,0,0.655554962,32.8,0,0
Kolasib,282,0.417518148,0,1270,0,0,3.24143999,0,0,42.8,1.986229461,0,13.5,1.067662261,0,14.6,0,0
Hailakandi,318,0.189776037,0,385,0,0.598197716,15.9,0,0,349,6.051923787,0,1.996448202,366,1.058369794,207,0,0
Karimganj,317,14.6,0,238,0,0.042672532,87,0,0,642,7.370269369,0,18.6,582,0,279,0,0
Cachar,316,0.632491924,0.180869546,1670,0,0.685976789,21.9,0,0,515,11,0,24.7,1050,18.3,466,0,0.189650763
Imphal West,277,0,0,240,0,0,0.676645599,0,0,21.9,1.529451726,0,0.142524311,4.072795063,0,32,0,0
Ri Bhoi,297,0.646283656,0.058579674,518,0,0.456791136,569,0.224406113,0,1120,5.940016349,0,8.289074728,33.4,0,167,0,0
East Khasi Hills,298,0,0.165743966,1030,0,1.784275362,652,11.8,0.96655757,661,3.748638143,99.2,5.627666496,80.9,33.3,223,0,0
West Khasi Hills,296,0,0,1920,0,16.3,1010,8.74131835,1.151755764,1990,7.437292493,37.2,1.871973437,79.6,0,154,0,0
West Tripura,289,0,0,153,0,1.073723135,114,0.455302002,0,2310,8.085368889,0,10.6,258,23.5,122,0,0
Dhalai,291,3.670929784,0,553,0,0.59194959,84.8,0,0,1500,1.483480009,0,18.5,37.1,0.46319069,55.5,0,0
North Tripura,292,0,0,440,0,1.250781368,111,0,0,1300,2.278527829,0.190425868,0.826223516,94.4,1.514261277,98.2,0,0
South Tripura,290,0.264067193,0.228177134,150,0,0.466074353,117,0,0,2600,7.701770004,0,19.4,159,0.693544076,84.1,0,0
South Garo Hills,295,0,0,780,0,7.769984896,176,0.18909595,0,850,4.248360233,0,2.490767704,28.6,0,73.4,0,0
East Garo Hills,294,0,0,354,0,1.380440294,89.6,0.422316802,0,2340,2.475175062,0,0,32.8,0,115,0,0
West Garo Hills,293,0,0,140,0,0.224909419,131,0.449155103,0.112542393,2660,4.01403195,0.092553354,1.648821648,166,1.527642277,242,0,0
Dhubri,301,86.7,0.233006134,6.262971638,0,0.464670511,14.8,5.674046495,124,74.9,0.722184425,205,24.6,1550,5.369240016,136,0.232869285,64.4
Goalpara,302,83.8,0,3.779793829,0,0.232359895,12.2,1.139756983,64.6,381,1.278551497,103,13.8,745,0.939384957,558,0,42.4
Bongaigaon,319,41.1,0,5.407131218,0,1.571228808,30,1.964906058,6.181901171,97.7,2.990297761,14.8,16.4,547,0,281,0,5.519808954
Chirang,320,0,0.180066837,216,0,2.963479121,112,0,1.733477993,143,46.4,8.424081213,1.290880902,287,15.9,897,0,0
Kokrajhar,300,0,0.00651692,574,0,0.186860162,232,0.266979502,2.110302349,390,7.606123026,5.397640352,6.968225287,366,6.005589855,1580,0,0
Barpeta,303,115,0,0.366582041,0,1.071057804,5.583567833,6.234639046,125,37.2,1.714158473,139,27.1,1700,8.475444954,95.1,0.187576714,51.8
Baksa,324,0,0.69377037,130,0,1.066983752,107,0.418086597,3.549718531,134,32.8,2.963507902,7.333054184,1110,0.05544881,840,0,0
Kamrup,321,53.1,0.232409021,145,0,0.488231471,88.4,2.516077931,54.7,627,5.694197367,55.4,32.7,1160,13.3,649,0,23.3
Kamrup Metropolitan,322,2.25489299,0,154,0.232513722,0.419993064,183,1.294723441,0.112720883,284,6.976210927,0.69350699,5.590939566,436,76.3,56.1,0,1.402761521
Nalbari,323,16.8,0,0.463661177,0,0.232131488,1.730952153,1.318927413,25.5,27.6,0.123947617,17.5,11,740,3.635813024,181,0,4.556523941
Darrang,325,87.9,0,4.528113845,0,0,11.4,1.651682153,74.3,20.8,4.771852318,106,12.4,1080,7.129750108,161,0,37.8
Udalguri,326,0,0,26.4,0,0.924415205,50.9,0.462178749,2.479095452,94.7,4.530371548,6.665434799,0.186544837,761,1.716980355,1090,0,0
Leh (ladakh),3,610,29.8,0,0,0,20.7,0.237496755,49.4,2.054185136,0.180607773,1860,0.893361526,75.1,1.626912244,0.246125092,8700,68900
Punch,5,1.343388574,144,1.410946958,1.883687017,1.916350937,639,19,7.870319164,261,4.638719997,316,5.304224538,783,1.276768211,210,0.288326789,0.009855253
Kupwara,1,7.661799913,612,0,1.560856184,0.222069888,337,1.881559244,36.7,77.4,4.011181291,543,1.923327827,364,0,17.7,3.541364079,0.889127869
Baramula,8,9.864142458,217,0.173495478,3.054409899,0.18613746,205,5.423973741,6.324686189,29,0.89707245,347,10.2,830,38.1,70.6,0.239055034,0.595842242
Bandipore,9,43.3,307,0,2.714948348,0.172931844,231,3.451477272,27.6,20.7,2.172342197,1340,7.610248177,139,0.839322019,27.8,76.8,66.9
Ganderbal,11,3.199525146,93.5,0,1.087971604,0.247311457,53.1,0,11.8,7.885605612,2.864171648,683,0.238962223,24.4,0,13.8,78.8,95.6
Srinagar,10,1.649791683,96.1,0,0.42076966,0.223087585,160,0.622474827,10.1,3.836578548,1.604027797,304,3.635124718,311,47.1,121,0.253274976,4.352613349
Badgam,2,1.251553633,114,0,0.223345523,0,59.4,0.190522133,3.188629286,10.6,0,452,1.446038506,554,45.3,35.4,6.439542462,1.118049011
Pulwama,12,0,27.2,0,0,0,51.8,0.353539981,1.786746234,2.439567317,0.435331517,51.4,0.24795791,426,6.237639352,45.2,0,0.305893125
Shupiyan,13,0,42.7,0,0,0,49.9,0.472876392,1.622965175,3.319284235,0.589278432,107,0,122,3.255457197,214,0.012432048,0
Rajouri,6,0.233000434,36.8,0.457979433,0.449864053,0.233296037,416,39.3,18.8,316,2.375132908,130,2.209219715,885,2.96487439,78.7,0,0
Kulgam,15,0.426683244,101,0,0.012036816,0.232327853,105,0,3.446053161,2.642583372,0,653,0,239,5.230025733,203,10.2,6.343275732
Anantnag,14,4.507365832,540,0,0.810911914,0.356464256,252,3.593174534,30.8,22.9,3.199544664,1300,0,619,25.1,118,122,99.6
Kargil,4,4.819652802,1.530414351,0,0,0,0,0,21.4,1.595407133,0.427588468,1930,0,23.6,1.314552359,0.181052257,2320,10600
Kishtwar,18,26.6,937,0,2.383095832,0.616747546,682,32.1,61.1,92.7,5.979816689,3220,4.286758206,209,0.466712128,106,2400,828
Lahul & Spiti,25,16,121,0,0.184499825,0,13.5,0,20.9,16.1,2.486654951,2440,0.23491437,14.4,0,3.610907373,4210,6970
Chamba,23,17.3,393,0.613614016,1.387014212,1.49579651,1560,46,59.2,456,8.296644885,2250,10.5,512,0.84038216,141,572,438
Kangra,24,165,28.9,0.430502323,0.641141114,1.292939212,2090,43.4,25.6,663,2.656408176,765,7.21829001,1200,3.031974988,409,203,118
Kullu,26,3.055185231,137,0.609974552,0.906551265,3.897091698,1690,5.713345067,36.7,249,3.839635099,1660,0.996468874,202,1.505285936,214,1110,194
Kinnaur,34,11.6,172,0,1.553989007,0,331,26.4,64.9,65.6,2.410899938,2070,0.950165648,45.5,0,12,1010,2650
Mandi,27,0,117,1.491680869,1.680693901,0.220705065,1780,29.6,2.42786294,938,4.899030003,211,3.504109195,613,1.441801036,248,0,0
Hamirpur,28,0,0,0,0,0.435547404,507,4.134725007,0.470937243,134,0.195529948,1.202935748,0.645422078,334,1.29786008,140,0,0
Solan,31,0,0.179471567,0.230134774,0,0,919,18,0.417896504,441,3.483374998,14.8,0.222259564,452,6.269657686,104,0,0
Bilaspur,30,42.5,3.916128306,0,0.775346467,2.740034112,517,14.7,0.445142112,216,0.36613407,2.064988004,8.45703043,254,0.229965011,105,0,0
Una,29,23.3,1.11461347,0,0.37405504,0.439133702,470,9.403829469,0,259,0.407263752,0.238097918,3.145061801,529,3.221085703,240,0,0
Rupnagar,51,0.22973494,0,0,0,0.14685291,88.1,0.943912594,0,16.4,0,0,0.706232667,1210,17.8,53.6,0,0.459490888
Shahid Bhagat Singh Nagar,39,0,0,0,0,0,25.4,0,0,6.403464591,0,0,0,1250,18.1,0.604878691,0,0
Shimla,33,0,290,1.288813814,0.656330175,0.187053334,2140,17.7,11.1,681,4.535591,1140,5.983456268,530,3.41459063,213,77.6,25.9
Sirmaur,32,0,18.4,0,0,0,1300,13.8,5.752433664,384,2.304303385,216,0.231281165,617,7.060414237,247,0,0
Uttarkashi,56,0.899708655,122,0,1.03717589,0.238802796,2470,24.1,25.2,530,4.87626658,1910,1.029411321,255,0.469732478,70.3,1260,1380
Chamoli,57,6.537959132,28.9,0.412878868,0.45478613,0,2330,12,23.8,545,4.527456168,2440,0.232786719,179,0.687656091,67.4,1560,641
Tehri Garhwal,59,8.114718914,6.445102274,0.223923301,1.596542881,1.153864941,2140,17.5,4.336346927,669,4.254589109,403,6.836916013,332,3.286573198,114,141,20.2
Rudraprayag,58,0,4.081544539,0,0.232021993,0.231563605,1050,4.698284109,3.554997033,192,0.223644218,324,0,67.6,0,38.7,137,13.3
Dehradun,60,0,46.6,0,0.410865661,0,1430,47.1,9.554615057,404,1.665757424,265,1.007115832,491,93.6,281,0,0
Garhwal,61,34.9,4.236622781,2.22723196,0.22527707,0.605832618,3370,35.6,17.3,947,8.581556345,396,16.2,452,5.418034221,172,0,0
Saharanpur,132,0,0,0,0,0.834786659,226,2.323337907,5.985034726,47.9,0,3.05397981,0,3270,89.8,78.9,0,0
Hardwar,68,0,0,0,0,0.879979566,362,3.822644907,8.622764107,81.1,0,15.7,0.232728857,1800,66.7,52,0,0.233837275
Muzaffarnagar,133,0,0,0,0,0,2.978935493,0,9.916435982,0,0,1.963300831,0.659521963,3740,152,144,0,0
Bijnor,134,0,0,0,0,0,196,3.88370011,4.220005184,41.1,0,3.030827742,0.468845449,3840,122,109,0,0
Almora,64,0,0,1.056649383,0,0.173373872,1230,35,6.586273163,805,5.0005981,218,0,548,2.677388766,249,0,0
Nainital,66,0.259528276,0,1.938189422,0,6.753542883,2680,37.1,3.542419669,584,1.114824933,19.1,2.862553794,448,16.6,336,0,0
Udham Singh Nagar,67,38,0.593558273,1.334905422,0.183214604,0.645994825,481,7.159748193,5.243988283,85.1,0.636949183,7.248561519,23.2,1840,41.6,217,0,0.42695268
Rampur,136,0,0,0,0,0,28.8,0,0,1.019779508,0,0.235746007,0,2500,38.5,3.27720527,0,0
Moradabad,135,0,0,0,0,0,0,0,0,0,0,0.226997283,0,3290,145,195,0,0
Bareilly,150,0,0,0,0,0,0,0,2.46081544,0,0,0.701166107,0,3680,97.8,3.303023283,0,0
Budaun,149,0,0,0,0,0,0,0.238006152,17.2,0,0,5.762575777,0,4990,60.4,0.657959395,0,0.090282287
Jyotiba Phule Nagar,137,0,0,0,0,0,0.183429999,0.235514672,15.2,0.227139141,0,5.896557015,0,1300,47,903,0,0
Bulandshahr,142,0,0,0,0,0,0.596307924,0,13.1,0,0,3.627872201,0,3450,88.6,4.17256284,0,0
Ghaziabad,140,0,0,0,0,0,0.183565716,0.926411623,5.603113218,0,0,1.367790643,0,1730,204,31,0,0
Meerut,138,0,0,0,0,0,1.718151329,0.226496945,12,0.182729702,0,1.645323951,0.645415481,2360,176,61.7,0,0
Baghpat,139,0,0,0,0,0,0,0,0,0,0,0,0,1260,40.8,32.4,0,0
Sonipat,76,0,0,0,0,0,0,0,0.601656953,0,0,0.183228574,0,2100,49.5,4.63593325,0,0
North West,90,0,0,0,0,0.227219441,0,1.008277376,0.47254601,0.183315331,0,4.575056837,0,237,183,16.2,0,0
Gautam Buddha Nagar,141,0,0,0,0,0,0,6.273297771,20.8,0.183787298,0,12.1,0.684598324,1210,101,53.6,0,0
Aligarh,143,0,0,0,0,0,0,0.229001912,3.402662359,0,0,1.800020754,0,3640,92.3,7.54686929,0,0.228473853
Faridabad,88,0,0,0,0,0,0,1.462738022,0.902520607,0.411866498,0,2.039133211,0,695,110,31.1,0,0
Palwal,89,0,0,0,0,0,0,0,0,0,0,0,0,1300,23.9,0,0,0
Mewat,87,0,0,0,0,0,0,0.46617031,0.228387606,0.421382224,0,0.193478377,0,1450,11,0,0,0
Gurgaon,86,0,0,0,0,0,0,1.559514836,12.7,0,0,3.309397357,0,1110,71.7,38.7,0,0
South,98,0,0,0,0,0,0,1.142854436,2.474263531,0.595480095,0,2.369447233,0.435412642,89.8,135,21.5,0,0
New Delhi,94,0,0,0,0,0,0,0.14101985,0,0,0,0,0,0.635067201,37.7,0,0,0
South West,97,0,0,0,0,0,0,2.513442582,5.510239979,0.227413878,0,4.719075002,0,228,187,7.21396831,0,0
Central,95,0,0,0,0,0,0,0.166095132,0.18363058,0.34289758,0,0,0,0.392083015,14,0,0,0
East,93,0,0,0,0,0,0,0,0,0.126318574,0,0.236160642,0,1.448562831,63.2,0.227440611,0,0
North East,92,0,0,0,0,0,0,0,0,0,0,0,0,3.286262536,59.2,0,0,0
North,91,0,0,0,0,0,0,0.061170118,0,0.002845912,0,0.821115319,0,6.614310608,61.6,0,0,0
West,96,0,0,0,0,0,0,0.966356886,1.350569184,0,0,1.031510145,0,18.9,98.3,1.599989469,0,0
Jhajjar,83,0,0,0,0,0,0,0.183565716,4.052848823,0,0,0.911499708,0.603979847,1900,34.6,1.197408175,0,1.234850243
Alwar,104,0,0,0,0,5.466191341,62.5,0.627216379,1.160260565,42.8,0,1.718586757,0,8090,40.9,58.8,0,0.379853587
Rewari,85,0,0,0,0,0,0,0,0.184396515,0,0,0,0,1470,23.7,0,0,0
Rohtak,82,0,0,0,0,0,0,0,0.872412262,0,0,0.183315479,0,1670,50.8,0.23557056,0,0
