NTL ONLY,,,,,,MODIS ONLY,,,,,,NTL + MOIDS,,,,,,,NTL ONLY,MODIS ONLY,NTL and MODIS,,,,,,,,,,,,,,,,,,,,,
,f1,acc,recall,prec,,,f1,acc,recall,prec,,,f1,acc,recall,prec,,,"f1 , acc","f1 , acc","f1 , acc",,,,,,,,,,,,,,,,,,,,,
BF_1,0.79,0.75,0.84,0.74,,BF_1,0.78,0.74,0.81,0.75,,BF_1,0.83,0.82,0.83,0.83,,BF_1,"0.79 , 0.75","0.78 , 0.74","0.83 , 0.82",,,,BF_1,BF_2,BF_3,CHH_1,CHH_2,CHH_3,EMP_1,EMP_2,EMP_3,FC_1,FC_2,FC_3,MSL_1,MSL_2,MSL_3,MSW_1,MSW_2,MSW_3
BF_2,0.36,0.66,0.64,0.25,,BF_2,0.5,0.81,0.66,0.41,,BF_2,0.48,0.78,0.7,0.37,,BF_2,"0.36 , 0.66","0.5 , 0.81","0.48 , 0.78",,NTL ONLY,"f1 , acc","0.79 , 0.75","0.36 , 0.66","0.66 , 0.79","0.65 , 0.76","0.58 , 0.57","0.59 , 0.67","0.61 , 0.61","0.69 , 0.73","0.7 , 0.85","0.79 , 0.75","0.46 , 0.63","0.75 , 0.85","0.64 , 0.75","0.44 , 0.56","0.8 , 0.8","0.36 , 0.58","0.74 , 0.74","0.77 , 0.81"
BF_3,0.66,0.79,0.71,0.62,,BF_3,0.64,0.79,0.64,0.65,,BF_3,0.73,0.83,0.77,0.69,,BF_3,"0.66 , 0.79","0.64 , 0.79","0.73 , 0.83",,MODIS ONLY,"f1 , acc","0.78 , 0.74","0.5 , 0.81","0.64 , 0.79","0.65 , 0.78","0.65 , 0.63","0.56 , 0.7","0.66 , 0.69","0.67 , 0.73","0.61 , 0.76","0.83 , 0.82","0.58 , 0.75","0.66 , 0.82","0.59 , 0.73","0.46 , 0.62","0.72 , 0.73","0.53 , 0.78","0.72 , 0.73","0.64 , 0.71"
CHH_1,0.65,0.76,0.74,0.58,,CHH_1,0.65,0.78,0.68,0.62,,CHH_1,0.74,0.83,0.81,0.69,,CHH_1,"0.65 , 0.76","0.65 , 0.78","0.74 , 0.83",,NTL and MODIS,"f1 , acc","0.83 , 0.82","0.48 , 0.78","0.73 , 0.83","0.74 , 0.83","0.65 , 0.63","0.68 , 0.79","0.69 , 0.72","0.71 , 0.76","0.76 , 0.87","0.85 , 0.84","0.6 , 0.78","0.8 , 0.89","0.78 , 0.88","0.47 , 0.57","0.86 , 0.86","0.55 , 0.78","0.82 , 0.83","0.79 , 0.82"
CHH_2,0.58,0.57,0.68,0.5,,CHH_2,0.65,0.63,0.8,0.55,,CHH_2,0.65,0.63,0.8,0.55,,CHH_2,"0.58 , 0.57","0.65 , 0.63","0.65 , 0.63",,,,,,,,,,,,,,,,,,,,,
CHH_3,0.59,0.67,0.85,0.45,,CHH_3,0.56,0.7,0.7,0.47,,CHH_3,0.68,0.79,0.79,0.59,,CHH_3,"0.59 , 0.67","0.56 , 0.7","0.68 , 0.79",,,,,,,,,,,,,,,,,,,,,
EMP_1,0.61,0.61,0.74,0.53,,EMP_1,0.66,0.69,0.73,0.61,,EMP_1,0.69,0.72,0.72,0.66,,EMP_1,"0.61 , 0.61","0.66 , 0.69","0.69 , 0.72",,,,,,,,,,,,,,,,,,,,,
EMP_2,0.69,0.73,0.86,0.57,,EMP_2,0.67,0.73,0.79,0.58,,EMP_2,0.71,0.76,0.86,0.61,,EMP_2,"0.69 , 0.73","0.67 , 0.73","0.71 , 0.76",,,,,,,,,,,,,,,,,,,,,
EMP_3,0.7,0.85,0.73,0.67,,EMP_3,0.61,0.76,0.77,0.5,,EMP_3,0.76,0.87,0.85,0.69,,EMP_3,"0.7 , 0.85","0.61 , 0.76","0.76 , 0.87",,,,,,,,,,,,,,,,,,,,,
FC_1,0.79,0.75,0.88,0.72,,FC_1,0.83,0.82,0.83,0.82,,FC_1,0.85,0.84,0.85,0.84,,FC_1,"0.79 , 0.75","0.83 , 0.82","0.85 , 0.84",,,,,,,,,,,,,,,,,,,,,
FC_2,0.46,0.63,0.78,0.33,,FC_2,0.58,0.75,0.84,0.44,,FC_2,0.6,0.78,0.82,0.47,,FC_2,"0.46 , 0.63","0.58 , 0.75","0.6 , 0.78",,,,,,,,,,,,,,,,,,,,,
FC_3,0.75,0.85,0.83,0.68,,FC_3,0.66,0.82,0.67,0.65,,FC_3,0.8,0.89,0.88,0.73,,FC_3,"0.75 , 0.85","0.66 , 0.82","0.8 , 0.89",,,,,,,,,,,,,,,,,,,,,
MSL_1,0.64,0.75,0.94,0.49,,MSL_1,0.59,0.73,0.79,0.46,,MSL_1,0.78,0.88,0.92,0.68,,MSL_1,"0.64 , 0.75","0.59 , 0.73","0.78 , 0.88",,,,,,,,,,,,,,,,,,,,,
MSL_2,0.44,0.56,0.72,0.31,,MSL_2,0.46,0.62,0.66,0.35,,MSL_2,0.47,0.57,0.8,0.33,,MSL_2,"0.44 , 0.56","0.46 , 0.62","0.47 , 0.57",,,,,,,,,,,,,,,,,,,,,
MSL_3,0.8,0.8,0.75,0.86,,MSL_3,0.72,0.73,0.65,0.8,,MSL_3,0.86,0.86,0.84,0.88,,MSL_3,"0.8 , 0.8","0.72 , 0.73","0.86 , 0.86",,,,,,,,,,,,,,,,,,,,,
MSW_1,0.36,0.58,0.74,0.24,,MSW_1,0.53,0.78,0.79,0.4,,MSW_1,0.55,0.78,0.83,0.41,,MSW_1,"0.36 , 0.58","0.53 , 0.78","0.55 , 0.78",,,,,,,,,,,,,,,,,,,,,
MSW_2,0.74,0.74,0.84,0.66,,MSW_2,0.72,0.73,0.8,0.66,,MSW_2,0.82,0.83,0.87,0.78,,MSW_2,"0.74 , 0.74","0.72 , 0.73","0.82 , 0.83",,,,,,,,,,,,,,,,,,,,,
MSW_3,0.77,0.81,0.77,0.76,,MSW_3,0.64,0.71,0.64,0.64,,MSW_3,0.79,0.82,0.84,0.74,,MSW_3,"0.77 , 0.81","0.64 , 0.71","0.79 , 0.82",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f1,acc,"f1 , acc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.83,0.82,"0.83 , 0.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.48,0.78,"0.48 , 0.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.73,0.83,"0.73 , 0.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.74,0.83,"0.74 , 0.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.65,0.63,"0.65 , 0.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.68,0.79,"0.68 , 0.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.69,0.72,"0.69 , 0.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.71,0.76,"0.71 , 0.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.76,0.87,"0.76 , 0.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.85,0.84,"0.85 , 0.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.6,0.78,"0.6 , 0.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.8,0.89,"0.8 , 0.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.78,0.88,"0.78 , 0.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.47,0.57,"0.47 , 0.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.86,0.86,"0.86 , 0.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.55,0.78,"0.55 , 0.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.82,0.83,"0.82 , 0.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.79,0.82,"0.79 , 0.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
